Name	iCh	iFr	Fr(Hz)	Cos	Sin	Amp	PVal
Project	       1	       1	   0.000	   2.597	   0.000	   2.597	   0.000
Project	       1	       2	   0.500	  -0.187	  -0.038	   0.191	   0.520
Project	       1	       3	   1.000	  -0.139	  -0.109	   0.177	   0.125
Project	       1	       4	   1.500	   0.110	   0.034	   0.115	   0.229
Project	       1	       5	   2.000	   0.059	  -0.242	   0.249	   0.000
Project	       1	       6	   2.500	   0.031	  -0.064	   0.071	   0.334
Project	       1	       7	   3.000	   0.042	   0.002	   0.042	   0.620
Project	       1	       8	   3.500	  -0.010	  -0.070	   0.071	   0.195
Project	       1	       9	   4.000	  -0.015	   0.035	   0.038	   0.604
Project	       1	      10	   4.500	  -0.025	  -0.019	   0.032	   0.633
Project	       1	      11	   5.000	  -0.011	  -0.018	   0.022	   0.780
Project	       1	      12	   5.500	   0.027	  -0.003	   0.027	   0.561
Project	       1	      13	   6.000	   0.032	  -0.009	   0.033	   0.524
Project	       1	      14	   6.500	  -0.004	   0.001	   0.004	   0.990
Project	       1	      15	   7.000	  -0.001	   0.047	   0.047	   0.204
Project	       1	      16	   7.500	   0.006	  -0.000	   0.006	   0.974
Project	       1	      17	   8.000	  -0.114	  -0.037	   0.120	   0.000
Project	       1	      18	   8.500	   0.014	  -0.035	   0.038	   0.208
Project	       1	      19	   9.000	  -0.018	  -0.007	   0.020	   0.658
Project	       1	      20	   9.500	  -0.028	   0.041	   0.050	   0.066
Project	       1	      21	  10.000	  -0.004	   0.041	   0.041	   0.232
Project	       1	      22	  10.500	   0.031	  -0.027	   0.041	   0.149
Project	       1	      23	  11.000	  -0.027	  -0.019	   0.033	   0.273
Project	       1	      24	  11.500	  -0.007	  -0.041	   0.042	   0.091
Project	       1	      25	  12.000	  -0.072	   0.008	   0.072	   0.000
Project	       1	      26	  12.500	   0.018	  -0.011	   0.021	   0.460
Project	       1	      27	  13.000	   0.011	  -0.004	   0.011	   0.783
Project	       1	      28	  13.500	  -0.030	   0.028	   0.041	   0.019
Project	       1	      29	  14.000	  -0.004	  -0.002	   0.004	   0.966
Project	       1	      30	  14.500	   0.004	  -0.025	   0.025	   0.252
Project	       1	      31	  15.000	  -0.012	   0.005	   0.013	   0.688
Project	       1	      32	  15.500	   0.006	   0.004	   0.007	   0.878
Project	       1	      33	  16.000	  -0.002	  -0.007	   0.007	   0.876
Project	       1	      34	  16.500	  -0.014	   0.020	   0.024	   0.211
Project	       1	      35	  17.000	  -0.005	  -0.004	   0.006	   0.892
Project	       1	      36	  17.500	  -0.009	  -0.007	   0.012	   0.679
Project	       1	      37	  18.000	   0.010	  -0.006	   0.011	   0.721
Project	       1	      38	  18.500	  -0.004	   0.006	   0.007	   0.850
Project	       1	      39	  19.000	   0.001	  -0.014	   0.014	   0.594
Project	       1	      40	  19.500	  -0.004	   0.011	   0.011	   0.724
Project	       1	      41	  20.000	   0.204	   0.011	   0.204	   0.000
Project	       1	      42	  20.500	   0.002	   0.012	   0.013	   0.613
Project	       1	      43	  21.000	  -0.001	  -0.024	   0.024	   0.191
Project	       1	      44	  21.500	  -0.009	  -0.010	   0.013	   0.716
Project	       1	      45	  22.000	  -0.026	   0.007	   0.027	   0.142
Project	       1	      46	  22.500	   0.002	  -0.011	   0.011	   0.747
Project	       1	      47	  23.000	  -0.011	  -0.020	   0.023	   0.152
Project	       1	      48	  23.500	  -0.001	  -0.006	   0.006	   0.895
Project	       1	      49	  24.000	  -0.007	   0.023	   0.024	   0.138
Project	       1	      50	  24.500	   0.017	   0.004	   0.018	   0.361
Project	       1	      51	  25.000	  -0.004	   0.003	   0.005	   0.929
Project	       1	      52	  25.500	  -0.011	  -0.007	   0.013	   0.543
Project	       1	      53	  26.000	  -0.013	  -0.006	   0.014	   0.508
Project	       1	      54	  26.500	   0.007	   0.005	   0.008	   0.769
Project	       1	      55	  27.000	  -0.009	   0.007	   0.011	   0.503
Project	       1	      56	  27.500	  -0.010	   0.007	   0.013	   0.398
Project	       1	      57	  28.000	  -0.017	   0.005	   0.018	   0.204
Project	       1	      58	  28.500	  -0.003	  -0.002	   0.004	   0.929
Project	       1	      59	  29.000	  -0.018	   0.012	   0.022	   0.121
